Date,Open,High,Low,Close,VolumeFrom,VolumeTo,price_change,abs_price_change
2023-04-14,30407.76,31020.32,30015.78,30491.71,48758.42,1491399385.72,0.0027608084252177534,0.0027608084252177534
2023-04-15,30491.71,30615.21,30237.51,30321.55,13596.83,413221716.15,-0.005580533200663429,0.005580533200663429
2023-04-16,30321.55,30562.42,30155.49,30322.37,17283.22,524392638.12,2.7043472381915734e-05,2.7043472381915734e-05
2023-04-17,30322.37,30331.32,29265.91,29446.34,34966.91,1037503329.39,-0.02889055176096056,0.02889055176096056
2023-04-18,29446.34,30485.26,29135.27,30395.53,36469.48,1095189891.18,0.03223456633320132,0.03223456633320132
2023-04-19,30395.53,30419.74,28615.79,28821.91,54525.22,1600523152.28,-0.051771428233032935,0.051771428233032935
2023-04-20,28821.91,29094.98,28007.09,28248.11,41297.76,1180562733.76,-0.01990846546949865,0.01990846546949865
2023-04-21,28248.11,28365.2,27173.44,27261.17,43368.57,1207725781.37,-0.03493826666633637,0.03493826666633637
2023-04-22,27261.17,27883.77,27150.5,27820.73,17443.02,479603472.21,0.020525898191456893,0.020525898191456893
2023-04-23,27820.73,27822.57,27352.28,27596.85,18289.06,504160726.43,-0.008047236718806472,0.008047236718806472
2023-04-24,27596.85,27988.76,26998.44,27520.93,34236.79,940115640.57,-0.002751038614914325,0.002751038614914325
2023-04-25,27520.93,28394.39,27200.99,28308.07,31694.19,876191270.4,0.028601504382300913,0.028601504382300913
2023-04-26,28308.07,30016.54,27261.2,28432.89,79154.04,2278451179.33,0.0044093433427288,0.0044093433427288
2023-04-27,28432.89,29890.36,28397.94,29483.94,63333.86,1850604653.99,0.0369659925529906,0.0369659925529906
2023-04-28,29483.94,29600.91,28920.19,29339.99,35166.03,1030276785.7,-0.004882318984504641,0.004882318984504641
2023-04-29,29339.99,29457.51,29078.4,29251.2,11330.73,332020115.89,-0.003026245066886535,0.003026245066886535
2023-04-30,29251.2,29958.96,29113.64,29236.81,23251.07,685897041.94,-0.0004919456295809921,0.0004919456295809921
2023-05-01,29236.81,29340.45,27680.56,28086.77,43941.31,1246630368.83,-0.03933534472468103,0.03933534472468103
2023-05-02,28086.77,28895.93,27899.16,28694.7,32659.37,927486609.7,0.021644710303107217,0.021644710303107217
2023-05-03,28694.7,29278.11,28151.97,29041.65,40257.03,1150554649.51,0.01209108302230022,0.01209108302230022
2023-05-04,29041.65,29376.48,28702.7,28865.72,27573.93,799149017.42,-0.006057851396184422,0.006057851396184422
2023-05-05,28865.72,29701.05,28852.44,29548.51,35426.26,1039027772.96,0.02365400897673764,0.02365400897673764
2023-05-06,29548.51,29853.13,28449.95,28943.98,24527.41,713641803.94,-0.020458899619642423,0.020458899619642423
2023-05-07,28943.98,29212.06,28547.22,28572.81,16604.62,480627306.93,-0.012823737440393446,0.012823737440393446
2023-05-08,28572.81,28786.01,27396.42,27783.42,40605.62,1136175854.67,-0.0276273142193576,0.0276273142193576
2023-05-09,27783.42,27963.87,27510.12,27680.21,22925.76,634693185.14,-0.0037148054487172733,0.0037148054487172733
2023-05-10,27680.21,28330.36,26840.62,27628.73,41945.8,1162217682.96,-0.0018598124797463145,0.0018598124797463145
2023-05-11,27628.73,27642.56,26731.83,26991.62,29504.51,802346192.21,-0.023059691849752095,0.023059691849752095
2023-05-12,26991.62,27092.93,25833.3,26807.09,42526.8,1123450368.34,-0.006836566312062753,0.006836566312062753
2023-05-13,26807.09,27043.5,26705.45,26788.88,12502.23,335722601.8,-0.0006792979021594814,0.0006792979021594814
2023-05-14,26788.88,27189.55,26611.92,26931.44,11877.98,319668371.39,0.005321611056527953,0.005321611056527953
2023-05-15,26931.44,27668.19,26759.29,27176.27,27959.1,764041771.98,0.009090861832861563,0.009090861832861563
2023-05-16,27176.27,27304.97,26869.45,27036.57,23994.43,649282623.49,-0.0051405141323662695,0.0051405141323662695
2023-05-17,27036.57,27488.05,26565.39,27406.21,29196.37,788279620.49,0.013671852605563473,0.013671852605563473
2023-05-18,27406.21,27476.67,26379.63,26823.31,27707.43,749234030.86,-0.021268902194064743,0.021268902194064743
2023-05-19,26823.31,27178.6,26668.92,26888.42,16460.59,442561192.0,0.0024273663466587436,0.0024273663466587436
2023-05-20,26888.42,27164.5,26840.23,27118.54,7375.52,199050865.32,0.008558331058500457,0.008558331058500457
2023-05-21,27118.54,27280.07,26691.06,26755.17,11973.11,322799242.35,-0.013399320169891205,0.013399320169891205
2023-05-22,26755.17,27084.08,26548.27,26855.4,17684.89,474287648.56,0.003746191857499026,0.003746191857499026
2023-05-23,26855.4,27480.33,26808.03,27224.7,21235.04,578611517.74,0.013751424294555337,0.013751424294555337
2023-05-24,27224.7,27225.89,26092.06,26326.17,31836.22,843296169.29,-0.03300422043218121,0.03300422043218121
